id,label,text
12,3,"Ever since our son's 5th birthday, we have made it a tradition that he put away every penny (dollar, coin, etc.) he collects into his piggy bank to remain untouched until his actual birthday. Every birthday, he wakes up, counts everything in his bank, and is then free to spend all of his savings throughout the year on whatever he wants.

This year, after purchasing his big ticket items, he had $80 cash remaining. He asked if we could purchase a Steam gift card, so, we took him to Walmart \[1st mistake\]. Steam cards don't necessarily work like a reloadable Visa card. Although in retrospect, I wish we had just gone that route \[2nd mistake\]. We picked up two $30 Steam cards and one $20 card and headed to self checkout \[3rd mistake\].

We scanned the first $30 card, then the $20 card, and placed them in the grocery bag. Then we scanned the second $30 card. As that 3rd and final card was being tossed into the bag, the machine paused and prompted for employee assistance. We pulled out all three cards to compare the barcode numbers to the numbers that successfully displayed on the self check out monitor. This very young adult in a blue vest began heading our way. Once he approached our machine, we placed all three cards down (just to the right of the scanner, unbagged) and stepped back a little to let the employee sort out the issue.

The employee entered his code to clear the prompt, and then attempted to scan the third card again himself. Another prompt popped up. He entered his code and cleared the message again. He attempted to scan the third card one final time, then he placed all three card back in the same spot (just to the right of the scanner, unbagged), and walked away to ask someone why it wasn't working. When he came back, he said that there is an automatic feature in place to prevent a customer from being able to purchase too many Steam cards in one transaction. We said that was totally fine, and that we would just pay for the two cards that successfully scanned, and come back another time for that other $30 card. We thanked the employee for his help, he took the card that \*didn't\* scan back to the rack it came from, and we went home.

My husband loaded our son's first card onto his Steam account, but when he attempted to load the second card, Steam prompted that the card number was invalid. He tried again and was met with the same prompt.  Then he compared the Steam card number to the numbers from our Walmart receipt, and as expected, the numbers didn't match. In fact, the card \*totals\* didn't match. The receipt showed that we had purchased one $30 card and one $20 card for a total of $50 purchased with cash. However, we were actually holding \*two $30 cards.\* One that worked, and one that did not work because it had not been activated.

The employee accidentally restocked the now activated $20 Steam card, and bagged the $30 inactivated card. No big deal. Honestly, that's a reasonably easy swap to make after all the confusion with the uncooperative self check out machine. My husband took both cards and the receipt back to Walmart to explain the situation and hopefully exchange the inactive $30 card for the active $20 we intended to buy.

My husband walked back into the house visibly frustrated. He said that the store manager listened to his story, and told him she was going to her office so she could review the footage from our self check out machine during the time of our transaction. After reviewing the footage, she reapproached my husband and told him that there was nothing she could do to help him since she watched him take all three cards home. He asked if he could see the footage, and she told him that showing customers surveillance footage was against Walmart's policy. He explained the situation again and how it was a very simple swap up, but she reminded him that she witnessed him take all three cards home, and she confiscated the two cards he brought in (one inactive $30 and one now empty $30 card). With no way to prove that he, in fact, did \*not\* have all three cards, he took his receipt and left.

After hearing my husband's recap, I became pretty frustrated myself. Typically, I will jump through all hoops if it means I can avoid conflict \*by any means.\* Had this been my own problem, I would have just let them walk all over me about it, but since it involved \*my kid\* and now \*my husband.\* I was ready to give Walmart customer service a go myself. I asked my husband for the receipt and I drove back to Walmart.

I walked up to the customer service counter, showed the lady my receipt, and explained to her the whole situation (with no mention of my husband) as though this was the first time it had ever been mentioned. The lady said that I would need to talk to store manager. I said that was fine, and waited for the manager to speak with me.

When the manager walked through the door, I once again explained the situation as though it was the first time being discussed. She said ""I already spoke with a man about this."" I let her know that was my husband. She told me that she saw him take all three cards home. I asked if I could see the footage. She said ""Like I told \*him,\* it is against our policy to share footage with our customers, but I replayed the footage for 40 minutes--"" and I did interrupt her to say ""That's just not possible. We live less than 10 minutes away, and my husband was \*just\* here talking to you originally for 15 minutes in total \*at most.\*"" She backpaddled and said ""I mean, I watched the footage at least 40 times."" Then told me that she could check the footage again and \*take a picture\* of what she saw. She started to walk away, then she turned around and asked me to hand her the receipt. I said ""Of, course. Let me take of picture of it before I hand it over just in case it were to disappear."" She said, ""You know what? I don't \*have\* to help you.""

(I don't usually play this card often, but) I said, ""Look, my husband and I are both veterans, we're too afraid of losing our VA disability for us to risk ever losing our benefits due to petty theft."" She said, ""I didn't accuse him of stealing."" I told her ""You absolutely have or I wouldn't be here right now. I don't understand why I can't see the footage that you claim proves we went home with all three cards.""

She then told me, ""I can't show you the footage without getting the police involved."" I said, ""Please do not make me get the police involved over something so petty. Do you understand how gift cards even work? Do you understand that until a card is \*activated\*, it is literally \*just\* a piece of cardboard? You are accusing us of stealing \*cardboard\* while \*you\* are simultaneously robbing my 10-year-old out of his birthday money.""

""I am \*not\* 'robbing' your child."" she said. ""I've tried to be kind with you, but I am not obligated to help you anymore."" As she started to walk away from me, I said ""So you're just going to rob my child?""

She stopped walking for a moment, and I projected SO MUCH LOUDER (in fact, \*embarrassingly\* so much louder) because I was fucking \*livid.\* at this point. \*""So you're just going to rob my child?""\*

She stormed off to her office, and I stood by the Walmart welcome guy. He obviously heard me raise my voice (because everybody in the front half of the building had to have heard). I apologized and said ""This is such disappointing situation."" I waited next to him for the manager to return from her office after reviewing the footage \*again.\* When she came back, she said ""I'll let you have a customer satisfaction card \*because we're nice.\* You can go back to the customer service counter where they will help get you a new card.

I stood in line at customer service. Once an employee was available, she told me that I could go grab a new $20 Steam card and she would replace it for me. I stepped out of line to grab the card, and wouldn't you fucking know...they were fresh sold out of $20 Steam cards. So, I grabbed a $30 card and returned to the back of the customer service line because the lady who told me to grab a new card was assisting another customer by the time I got back. I wound up paying the $10 difference out of pocket which is...whatever at this point. Like, my god, Walmart. Was all of that necessary? Way to employee a power-hungry \[unkind word\] and make them the \*face\* of that location. AAAHHHHHHHHHHHHHH. Why."
13,1,"I wish I had a loving gf. I wish I had someone who’d look at me and couldn’t help but smile. I wish somebody would play with my hair and kiss my face. It gets so difficult at night. Nobody to hold on to while I fall asleep. I now I’m not perfect but I also know I’m good enough. I wish I was a bit braver, or maybe look better in photos, so I could find a woman in real life or through dating apps. Everyone wants to feel loved "
14,2,"Trigger warning, mention of rape/incest implications

I’m 16 and live in a pretty safe area just outside the city, on Mondays I attend a running club after school to try exercise more and I love it so far, yesterday I wore my usual athletic gear with shorts and a sport jacket. After I finished my club I had 2 buses to catch home and after the first I was waiting out the bus stop; 5  individuals just a bit older than me came to stand at the bus stop. There was one boy and 4 girls, and as I am standing there (headphones in) one girl starts yelling at this other girl near us saying the following : “The fuck are you looking at me for? Don’t think your tuff I’ll fucking bash you, you little white cunt” Headphones off at this point (which they didn’t see me take out) I figured it best to just be aware of my surroundings, I didn’t want to walk away of fear of making the situation worse

My heart dropped when I heard them talking about ME At first I thought they were passive aggressive compliments they thought I couldn’t hear “Look at those fucking shorts, wish I could wear shorts like that, so fucking short” Which I was fine with, people are expressive but then the comments got worse “She deserves to be raped for those fucking shorts” The guy was agreeing “Her dad probably fucks her in those shorts ay” “Haha he should rape her or he probably already does” I didn’t know what to do, I got on the bus and went home and that’s the end of it, it’s affecting me though and as a person with that threat having once happened, I’m a little on ease"
15,1,"I want a boyfriend, not a one night stand, not a fuckbuddy or some on-the-downlow bullshit.At the same time I don’t think I can deal with someone going all hot and cold and giving me the silent treatment for weeks on end again a d I know that comes with the territory. I don’t want to date some guy for two years and then he randomly starts pretending not to know me around his friends and starts vanishing off somewhere in the middle of the night while I’m sleeping  when I’m staying over at his place without leaving a note or anything and then doesn’t show up until 5 am and calls me a controlling bitch if I ask where he was.

 I don’t want another situation where the guy acts all says he wants to spend the rest of his life with me but when I say I’m ready for that he gets cold feet. It’s also exhausting trying to love someone who instead of talking to you about it when there’s something going on gives you the silent treatment for weeks and if you ask he just snaps at you and tells you to figure it out, like he expects me to read his mind or something. 

I feel like most guys want someone who can read their mind and I’m not smart or neurotypical enough for that. I can’t deal with the head games again. If I could find someone who doesn’t do that then sure, I’d give love another try, but that’s not how it works in real life. I want to be with someone I feel safe around instead of somebody who I constantly feel like I’m trapped in a game of mental chess with someone. "
16,0,"“A is tiny, D is big”. This is mildly true, but generally false.

Cup size increasing as the letters go up is really only measurable when the band size stays the same. 32A<32B<32C<32D and so forth.

However a 28D is very small and gets mistaken for our idea of an A cup. Bc technically, it does have the same volume of an A cup with sister sizes. 26DD-28D-30C-32B-34A-36AA all have the same cup volume.

Down a band size, up a cup size. 32A cannot be a default small size because now everyone’s ribcage is 32 inches. See how that can’t make any sense? 

The cup size is the difference between bust and underbust (ribcage under boob). That gives a starting point, but sister sizes really give the correct fit. I’m 30C and no one would believe me if I told them I’m a C cup. 

Most women are wearing the wrong size and I wish everyone was educated on the female body and not ignorant. 

@Theirishbralady on Instagram is a savior of showing examples. I wish people knew. Would have saved me years of turmoil of thinking I would never find a bra that fits

EDIT: Also small chest appreciation!!! World needs more natural body celebration. Real natural bodies. I’m not getting my boobs done to fit what society deems most attractive. Small boobs deserve more sucking. Period. If you honestly prefer big chests, leave us small chested girlies alone. We want men who want us. "
17,3,"I can't sleep.
My financial situation is really bad and yet i decided to get myself a cake for my birthday. It's money i could've spent better.. but i wanted cake for my one day a year. Now I can't sleep. I'm fighting to stay afloat financially, yet i bought a f* cake.
How am i supposed to be able to handle this, i feel like I'm drowning
"
18,1,"you are literally the stupidest and dumbest bitch. you’re so fucking dumb like how do you not even have a stupid degree that is so mf easy after trying for like 6 years. and you’re not even close to being done btw.

you’re poor but you literally don’t have a single brain cell in financial literacy and spend all your money as soon as you get it. dumb ass got cheated on and broken up with and then took out a loan for $22k with 20% interest fresh out of highschool.

you say that you hate borrowing money but you keep doing it from me. you also say you will pay back shit but you haven’t and it’s been over a year since.

you’ve also been lying consistently to me for over a year. and lying all the time, and pretending like you’re not.

your morals and pride are all a lie. i don’t believe in jesus but i know damn well he looks at you and is so mf disappointed you dumb stupid retarded fuck. 

there’s a reason you don’t have any solid friends around you and they’re all degens in the military you stupid bitch.

you’re fucking 23 years old and you can’t even control your goddamn tone of voice or emotions. all you do is act like a bitch and scream and yell and get physical. is that all you learned from your poor and abusive dad. probably why he doesn’t talk to you either. stupid ass bitch.

at 23 years old all you do is bum around. sure you work hard at work but no one gives a fuck and you still can’t even get promoted bc your dumb ass can’t even pass a damn exam in the military. hello?? how dumb can you be to fail the test even when you get “good ratings”. they probably just feel fucking bad for your short ass

not you thinking you’re all that and then you’re fucking embarrassed to tell your family you started dating your girlfriend again after throwing a tantrum about how she wanted to break up with you. holy crap you’re so fucking dumb.

your one brain cell in your head also can’t even use proper grammar. you play games where you’re the trash player but then you get pissed. hello?? you can’t even comprehend that ??

you’re the oldest child in your family bc you were the mistake from your mom when she was in her teens. dumbass runs in the family for sure. stupid family doesn’t even defend you and they’re so stingy and selfish they don’t even have a place for you to stay.

they say they love you but you know they’re lying since they live life as if you’re not there. when you come visit it’s just a burden to them. hella funny that they have an extra car at home but don’t even let you use it when you’re back because they don’t trust you. dumb ass.

never seen or met a more poor lying ass dumb ass in my life lololol

grow up dumb fuck"
19,1,"No I am not projecting my own failures onto others nor I’m I judging. I’m happy for people who have good parents but I can’t help but feel jealous at times. All my friends had their parents lend them their cars to move around in their teen years and eventually helped them buy a car or bought it for them. When I tell them how incredibly privileged and lucky it is to have that they always tone it down as if it were the bare minimum. They just don’t understand what the big deal is but as someone whose parents were extremely poor it would have meant the world to me. This is just an example of many. 

Edit: To add to this I relied on Uber/lyft since I started working at 18 up until I was able to save for a car this year now I offer my coworkers rides every chance I get so please if you are in a position were you are able to help someone pleaseeeee do. I know it meant the world to me when people offered me rides. "
20,2,"Recently I've gotten some tickets to a concert that I want to go to but I really really hate how I look and it makes me feel disgusting for having the audacity to show my face.

I feel like I have all the 'wrong' features. I have big crooked teeth, noticeable eye bags that never go away,  weird damaged hair that can never decide how it wants to look, and a face that goes red at even the slightest bit of heat.

My biggest insecurity would probably have to be that my face goes red so easily. It makes me feel like people are just going to look at me weird when I try to talk to them because I'm all red and bright.

I just really don't like the way I look and with how insecure I feel. I'm considering wearing makeup but this would be my first time and I definitely don't want it to end up looking cakey or big and makeup has always made me feel a little uncomfortable.

I'm almost tempted to resell the tickets just so no one else has to see my face. I know, I know, I'm being irrational but it's been on my mind"
21,0,"I’ve been in a tough position for a few years. Medical issues, no insurance, barely getting hours at a crappy 9 to 5. Debt piling up with no end in sight. There were days I didn’t eat or sleep from the stress. I genuinely thought I’d never get out.

But today, I made my final payment. I’m officially debt-free!

I’ve been watching a lot of Caleb Hammer, learning how to budget and move smarter. And yeah, I know a lot of y’all hate ChatGPT on here, but honestly, it helped me sort out my finances. I used it a lot when I was down and spiraling. Just having something to talk to helped me hang in there.

Now, for the first time in forever, I have breathing room. I can save. I can invest. My credit is up. I’m still broke, technically, but I’m not scared of the fridge being empty anymore. I’m still technically in survival mode, but at least now I can keep some of my money in my pocket."
22,0,"I have a friend who hates being a mom but had 7 kids. 1st 4 because she was in love and apparently never heard of birth control. Last 3 because she met a rich man and that child support was gonna be good. 
Her kids are so dang bad! My daughter knows better than to interrupt an adult conversation or not stop talking when i give her the look. All this friend does is yell “shut up!! We’re talking!” And the kids just HAVE to finish whatever the hell they’re saying, which frankly no one gives a crap about. I’m here to see your mom, not you. Go play!! I almost feel bad because maybe I’m the only adult they can talk to, ever. But i couldn’t care less about whatever new movie is on disney+ right now. I nod sarcastically enthusiastically and continue ignoring and listening to the mom but its so hard when she wont just tell her kid “when adults are talking, you need to be quiet” "
23,1,I don’t know what to do with this. He literally called me his little regret. I can’t stand that nobody. Not my mom. Not my dad. Not even my siblings actually love me. I don’t have any friends that love me. I can die tomorrow and nobody would care. I was just a little lamentation.
24,3,"They fucking told me that a date will be available on my birthday so they put it off and now here I am scheduled to take the test over half month away from my birthday. Ik it probably doesn't seem like a big deal to any of you, but getting my license is a huge deal to me. 1 it means I can become a lifeguard and start applying for that position 2 it means I can get out of this fuck ass boring house we moved in 3 after watching all of my friends and whole grade being able to drive on their own I can finally do it.

Anyways my parents decided to brush it off like I haven't been busting my ass the whole semester to learn how to drive, get all As taking only honors classes, study for an ACT, apply to early college, and tryout for travel soccer.

Its literally the only fucking thing I wanted for my birthday... freedom. And now they have taken away a quarter of my summer to which I will be stuck with my ass at home."
25,1,"I’ve gotten to the point where I just don’t want to talk to people about my struggles anymore. It’s not even that I don’t want connection—I do. It’s that most people, whether in real life or online, are dismissive or completely miss the point. I try to open up, and I get either:

	•	Oversimplified “solutions” that ignore the emotional side
	•	Passive-aggressive guilt-tripping like “other people have it worse”
	•	Or just straight-up silence, as if what I said didn’t matter at all

And then people wonder why I talk to chatbots instead of a “real” person. Because at least when I do that, I feel like someone is actually trying to understand me. No tone policing. No minimizing. No “you’re just being negative.” Just actual attention to what I’m saying.

It sucks feeling like every time I try to express something important or painful, I’m treated like a burden or like I’m making a fuss over nothing. I’m not trying to dump on people. I’m not even asking for fixes. I just want to feel heard for once. Is that really so much?"
26,1,"When my ex broke up with me almost a year ago in August he told me these words. It’s still stung and rung in my head. How can a being be too much, I am who I was molded to be with the world folding around me. I am sorry that my life has caused me to be this woman that I be today. I cannot simply exist in others worlds without being just too much for them to bear. In the friendships I’ve had in my life I especially do not understand what is so immensely difficult for people. Maybe it’s the wrong groups, people, things. Why do I have to be this woman? I wish I had a list of why people refrain. I have always been me, and as a child I was ever so lonely. I had my dad, at times ,and I wish I still did. I am me, in all that is me, with all that this world has given me. It’s not my fault my parents died, and it’s not my fault I have CPTSD. This life created me for a reason. I try to hang on to that idea. "
27,3,"So I'm in year 12 and in my last year of highschool. Like I graduate from school in 100 days which is so crazy and kinda scary.

But anyways, I have like 4 assessment tasks due so soon. It doesn't sound like a lot, but I don't go to the best school, and literally no one understands our classes. Plus, next term for week 5 and 6, I have my trial HSC exams which are really hard and I'm probably going to fail them. On top of that, I have an extra assessment to do for PDHPE because for someone reason someone thought it was a good idea to add an extra one that doesn't count for anything. Then, after all that, I have to study, revise, take practice tests, and do heaps of stuff to prepare and actually take my HSC exams. It's all so much.

I literally just spent 2 whole weeks doing nothing at all when I should've been working on assessment tasks for Ancient History and English  Advanced. And now they are due in the next two days. I wish I didn't even choose these classes. Honestly, kinda wish I dropped out instead. I just can't wrap my head around any of the year 12 content and I can't drop down levels in any of my classes. I tried to for English, because Advanced is too hard for me (literally have failed all my assignments) and the school told me I wasn't allowed.

On top of that, I don't know what to do once I leave school. So far, I'm thinking about a gap year to get a job and earn some money. But like, in this economy? I'd be lucky to afford food. And my Mum doesn't want me around for every. She's in the army so she's not as home as much as she used to be, and I don't think I'll actually be able to take proper care of myself.

Also, I want to get a job, but what job? I don't wanna work fast food, but also I have no experience so I can't get hired. Mum wants me to work in the army in if it's just reserves, but I don't think it's for me and she's trying to force it.

Like what do I even do once I finish school.

I'm just so lazy and can't even manage to bring myself to change it and it's so annoying.

Sorry it's kinda long"
28,2,"Telling me to aim for perfection, is the clearest example of how to make me want to quit. 

I cant be perfect. You put more and more on me, then expect more and more. 
Thats unfair. 
Its so unfair. 
I get your side, but it *hurts*. Please stop. "
